Query	Target	euclidean_distance
tr|A0A0D1CKI0	tr|A0A0D1CKI0	0.0
tr|A0A0D1CKI0	tr|A0A5B0N8H2	6.286743768084017
tr|A0A0D1CKI0	NOFIND|Unavailable	4.584462634151396
tr|A0A0D1CKI0	tr|A0A059UDR8	4.774400868075061
tr|A0A0D1CKI0	tr|A0A0D1E5A8	5.092083066886787
tr|A0A0D1CKI0	tr|G2X4U8	4.841831457320137
tr|A0A0D1CKI0	tr|N1JJH4	5.891141871818103
tr|A0A0D1CKI0	NCBI|AEK86791.1	5.639311131434597
tr|A0A0D1CKI0	tr|A0A0D1CH44	6.142945836140667
tr|A0A0D1CKI0	tr|F9XMT4	4.864232604709104
tr|A0A0D1CKI0	NCBI|AEK86951.1	5.253126651936355
tr|A0A0D1CKI0	tr|A0A0A2JB06	5.065902472008069
tr|A0A0D1CKI0	sp|A9JX75	5.129875182562579
tr|A0A0D1CKI0	tr|N1PIZ7	4.3120816854423945
tr|A0A0D1CKI0	tr|P78737	5.535668638776577
tr|A0A0D1CKI0	NCBI|EXK24251.1	5.662763020524591
tr|A0A0D1CKI0	tr|N1J7E2	5.562137604022943
tr|A0A0D1CKI0	sp|F4RBY2	4.979620363475756
tr|A0A0D1CKI0	NCBI|AGE15681.1	5.539621977022931
tr|A0A0D1CKI0	NCBI|AAS66949.1	5.949340953535644
tr|A0A0D1CKI0	tr|G2XA95	4.323396886710321
tr|A0A0D1CKI0	NCBI|AAA80239.2	5.576170718591955
tr|A0A0D1CKI0	tr|N1JJE7	5.323375339457629
tr|A0A0D1CKI0	tr|N1JN67	5.888867409715362
tr|A0A0D1CKI0	tr|A0A0A2ILW0	4.59090495360799
tr|A0A0D1CKI0	NCBI|AIW07468.1	5.6604964639466315
tr|A0A0D1CKI0	NCBI|ACY39289.1	5.686389894453832
tr|A0A0D1CKI0	tr|N1JFE2	6.022073317337841
tr|A0A0D1CKI0	tr|A0A0A2JY92	4.7265284578433695
tr|A0A0D1CKI0	tr|N1JPG4	5.989765448234404
tr|A0A0D1CKI0	tr|A0A0A2JVC2	4.458419559706853
tr|A0A0D1CKI0	tr|A0A0J9WTF1	5.0284891951491675
tr|A0A0D1CKI0	NCBI|XP_023455500.1	4.588767723467322
tr|A0A0D1CKI0	tr|E3KHU8	6.242288175775066
tr|A0A0D1CKI0	tr|J5J7Y8	5.152107274481615
tr|A0A0D1CKI0	NCBI|QSV27513.1	5.976768853948928
tr|A0A0D1CKI0	tr|N1J9C5	5.825865802343348
tr|A0A0D1CKI0	tr|A0A0D2YKQ0	5.391980100242799
tr|A0A0D1CKI0	tr|A0A0J9WAR0	5.495576229722259
tr|A0A0D1CKI0	tr|A0A0D1C5E3	5.533674898287996
tr|A0A0D1CKI0	tr|A0A0D2YD41	5.639245286436499
tr|A0A0D1CKI0	NCBI|ALQ80833.1	5.855721397038926
tr|A0A0D1CKI0	NCBI|AGG54055.1	5.2651623198887965
tr|A0A0D1CKI0	tr|A0A5B0PKJ8	5.047865838046407
tr|A0A0D1CKI0	NCBI|AGG54052.1	5.991715746470133
tr|A0A0D1CKI0	tr|I1S411	4.793216417750327
tr|A0A0D1CKI0	tr|N1J9M0	5.473426764828662
tr|A0A0D1CKI0	tr|D0NCU6	5.042664180768763
tr|A0A0D1CKI0	sp|D0NFU7	4.660653520134423
tr|A0A0D1CKI0	tr|N1J8Q9	5.453891761164675
tr|A0A0D1CKI0	tr|N1JHK8	5.937686860830106
tr|A0A0D1CKI0	tr|A0A1P8YXP4	5.436949746271994
tr|A0A0D1CKI0	NCBI|ALS92799.1	5.732677268692052
tr|A0A0D1CKI0	tr|G4N906	5.06399548466303
tr|A0A0D1CKI0	tr|G4N5S2	5.298360456214666
tr|A0A0D1CKI0	tr|A0A0D1DYI3	3.5862030203432846
tr|A0A0D1CKI0	tr|A0A1X7S147	5.33040870605569
tr|A0A0D1CKI0	sp|I1S2K3	5.425443195696515
tr|A0A0D1CKI0	tr|G4TDB9	5.096981502747747
tr|A0A0D1CKI0	tr|A0A0L0VYD3	5.7354268369201735
tr|A0A0D1CKI0	tr|A0A2S4VXZ9	3.998349485777021
tr|A0A0D1CKI0	NCBI|AMS24278.1	6.788717679485109
tr|A0A0D1CKI0	NCBI|AMS24280.1	4.820336550056971
tr|A0A0D1CKI0	tr|N1JJX4	5.658727929134671
tr|A0A0D1CKI0	tr|N1J4T9	4.750084116955946
tr|A0A0D1CKI0	NCBI|ALJ53448.1	5.590286169749559
tr|A0A0D1CKI0	tr|A0A8H6H084	5.815321166368497
tr|A0A0D1CKI0	tr|N4UGJ9	5.580188261137568
tr|A0A0D1CKI0	sp|Q2KEJ2	4.894272115021636
tr|A0A0D1CKI0	sp|G5EHQ6	4.831964811539453
tr|A0A0D1CKI0	tr|G5EI71	5.276956505604247
tr|A0A0D1CKI0	sp|G2XDH0	4.479520393185537
tr|A0A0D1CKI0	tr|A0A0D1DMP1	5.053617420246948
tr|A0A0D1CKI0	tr|A0A0D1E6X7	5.342461356500388
tr|A0A0D1CKI0	tr|B0DRA4	5.088700430669653
tr|A0A0D1CKI0	tr|A0A015KJY8	5.114894380205209
tr|A0A0D1CKI0	tr|G4TUH1	3.196663010158751
tr|A0A0D1CKI0	NCBI|AEK82122.1	4.489327421284095
tr|A0A0D1CKI0	tr|A0A1P8YXI8	5.880498007060459
tr|A0A0D1CKI0	tr|G4N6R0	5.099438596843066
tr|A0A0D1CKI0	tr|F7J180	5.238706583066932
tr|A0A0D1CKI0	sp|G4MQL4	5.182045339158715
tr|A0A0D1CKI0	tr|A0A0D1BUK8	5.524729248279488
tr|A0A0D1CKI0	tr|A0A0D1DT89	5.283842149497576
tr|A0A0D1CKI0	tr|A0A0D1DP22	5.190643187470517
tr|A0A0D1CKI0	tr|A0A0D1DPZ4	3.821174376729652
tr|A0A0D1CKI0	tr|A0A0D1DPX0	2.8689582586023263
tr|A0A0D1CKI0	sp|N1JJ94	5.573800228114864
tr|A0A0D1CKI0	tr|A0A656KNW6	5.706025736641317
tr|A0A0D1CKI0	tr|A0A5B0N367	5.507470630560615
tr|A0A0D1CKI0	sp|A0A063CBJ7	5.207005247807782
tr|A0A0D1CKI0	tr|A0A5B0LLJ5	6.139940804686369
tr|A0A0D1CKI0	tr|L8WQP7	4.446248220124196
tr|A0A0D1CKI0	sp|A0A2H5RJD4	5.382636547858645
tr|A0A0D1CKI0	NCBI|AEK86767.1	5.841031941640875
tr|A0A0D1CKI0	NCBI|AEK86830.1	5.618839833224801
tr|A0A0D1CKI0	NCBI|AEK86821.1	6.31577448065132
tr|A0A0D1CKI0	sp|N4VG36	5.162034436838717
tr|A0A0D1CKI0	NCBI|AIZ11404.1	5.325159482538564
tr|A0A0D1CKI0	tr|A0A5J6DDN9	5.3083942041098
tr|A0A0D1CKI0	NCBI|6SGO	5.125236425442476
tr|A0A0D1CKI0	NCBI|AQA29283.1	4.569078742307586
tr|A0A0D1CKI0	sp|P0CU91	4.871223077078036
tr|A0A0D1CKI0	sp|A0A411NN20	4.931795130471284
tr|A0A0D1CKI0	sp|G1FR37	5.187004740649588
tr|A0A0D1CKI0	tr|O42718	4.4884305125595985
tr|A0A0D1CKI0	sp|P0CY26	5.390220145170964
tr|A0A0D1CKI0	sp|P0CY27	5.391565771846733
tr|A0A0D1CKI0	sp|P0DJ06	5.3163066201483655
tr|A0A0D1CKI0	tr|M1WHN8	5.701276687402716
tr|A0A0D1CKI0	sp|Q8TGB8	5.7403468627921415
tr|A0A0D1CKI0	sp|G4MPQ7	5.901928289049054
tr|A0A0D1CKI0	NCBI|BAB32923.1	5.780951610641679
tr|A0A0D1CKI0	NCBI|XP_007692327.1	5.78349839705462
tr|A0A0D1CKI0	tr|Q2MV46	4.993072426091631
tr|A0A0D1CKI0	tr|Q6R661	6.104851273466034
tr|A0A0D1CKI0	tr|Q2MV43	5.700335411545843
tr|A0A0D1CKI0	tr|Q2MV49	5.380291120819651
tr|A0A0D1CKI0	tr|A0A1B2CW89	5.199453486673994
tr|A0A0D1CKI0	tr|A0A1B2CW13	5.279718603275854
tr|A0A0D1CKI0	tr|Q334H6	5.430906505538857
tr|A0A0D1CKI0	tr|E3KGM7	5.093757746319828
tr|A0A0D1CKI0	tr|A0A5B0MRS6	5.766337826494925
tr|A0A0D1CKI0	gi|KNE96524.1	5.33935174717224
tr|A0A0D1CKI0	tr|A0A142KWI6	3.8710669121259165
tr|A0A0D1CKI0	gi|POW04470.1	5.558627881983626
tr|A0A0D1CKI0	tr|Q09QS2	5.334697852209975
tr|A0A0D1CKI0	tr|N1JGD1	5.612850479993901
tr|A0A0D1CKI0	tr|N1JFM8	5.881339216207852
tr|A0A0D1CKI0	tr|A0A1L5JEG4	5.528424413618182
tr|A0A0D1CKI0	tr|P22287	5.0938105054552345
tr|A0A0D1CKI0	tr|Q00363	4.647534683137126
tr|A0A0D1CKI0	tr|Q5VB04	5.826260063888442
tr|A0A0D1CKI0	tr|Q8NID8	5.317885404701669
tr|A0A0D1CKI0	tr|A0A023UJQ9	5.582727790383655
tr|A0A0D1CKI0	tr|B3VBK9	4.601312033214003
tr|A0A0D1CKI0	tr|Q00365	5.104805576578354
tr|A0A0D1CKI0	tr|Q00364	4.980665868799659
tr|A0A0D1CKI0	tr|Q9P407	5.727497253893773
tr|A0A0D1CKI0	tr|Q9P408	5.1546585622518
tr|A0A0D1CKI0	tr|A4F4L2	5.951953505026655
tr|A0A0D1CKI0	tr|E5A6Z5	5.920313574199024
tr|A0A0D1CKI0	tr|Q258K5	5.270581077338564
tr|A0A0D1CKI0	tr|E4ZT77	5.770839681776627
tr|A0A0D1CKI0	tr|Q2A0P0	5.259625287771314
tr|A0A0D1CKI0	tr|Q2A0P1	5.705236606989493
tr|A0A0D1CKI0	tr|Q709D8	5.6160926696679345
tr|A0A0D1CKI0	tr|D0U2C8	4.874393549134186
tr|A0A0D1CKI0	tr|A0A0J9W9U9	5.365583311459341
tr|A0A0D1CKI0	tr|C0LT61	5.491573867807418
tr|A0A0D1CKI0	tr|C9WMG9	5.659050220401734
tr|A0A0D1CKI0	tr|C9WMH0	4.733905873259873
tr|A0A0D1CKI0	tr|C1KJG7	5.1817431473619155
tr|A0A0D1CKI0	tr|B9A9V1	5.438465146995311
tr|A0A0D1CKI0	tr|R9RX08	5.419281060747039
tr|A0A0D1CKI0	tr|G5EHH0	5.016211868193644
tr|A0A0D1CKI0	tr|G5EI08	4.973354950592667
tr|A0A0D1CKI0	tr|G5EI20	5.196621747648033
tr|A0A0D1CKI0	tr|G5EHI7	5.063053939351978
tr|A0A0D1CKI0	tr|L7IBA8	5.776905384292278
tr|A0A0D1CKI0	tr|A0A4P7N932	5.510203141346503
tr|A0A0D1CKI0	tr|L7J571	5.201554220927602
